Water depth (m),Turbine rating (W),Monopile cost ($/kW),TP cost ($/kW)
20,12,240.7804334,183.7590027
20,15,223.63142,166.0372426
20,18,207.7623007,151.1487721
20,20,179.5339283,131.6139324
30,12,290.6776426,191.3469752
30,15,268.1839251,172.4183007
30,18,247.8851193,156.6102736
30,20,214.3992496,136.3687738
40,12,343.3828045,198.7841587
40,15,315.1067736,178.6810123
40,18,290.0430579,161.9763126
40,20,251.0365843,141.0404911
50,12,398.8221405,206.081813
50,15,364.3413688,184.8336579
50,18,334.1883895,167.2532041
50,20,289.4043622,145.6345835
60,12,456.9285992,213.2498057
60,15,415.8341487,190.8835557
60,18,380.2772823,172.4465673
60,20,329.4644063,150.1559443
